Slate ID,Entry Name,Entry ID,Previous Picks,Day 1 (Round of 64),Day 2 (Round of 64),Day 3 (Round of 32),Day 4 (Round of 32),Day 5 (Round of 16),Pick 1,Pick Objective,Instructions,Team Name,Team ID,Game Info
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 37,019d0328-e06f-43c8-8e57-35a5e613bab4,NA,Houston,UConn,Michigan,Arizona,Illinois,72d09f36-72f1-4c0a-a354-92033a140ff5,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 38,019d0328-e06f-43d1-959f-74fe64cbe10d,NA,Houston,Tennessee,Arkansas,Iowa State,Purdue,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 41,019d0328-e06f-43e8-b8df-4710f1a29b9d,NA,Houston,Iowa State,Michigan State,Tennessee,Purdue,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 43,019d0328-e06f-443a-b3bc-ed0e6681b58f,NA,Houston,UConn,Michigan State,Arizona,Illinois,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 54,019d0328-e06f-453c-aa61-9d176f539645,NA,Houston,Virginia,Michigan,Arizona,Illinois,12207ee4-a390-477d-a4a7-7aa3f49430aa,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 55,019d0328-e06f-4583-b84b-b6118e88b34f,NA,Houston,Virginia,Michigan State,Arizona,Illinois,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 58,019d0328-e06f-4618-8eb1-d4c724f8bb32,NA,Houston,St. John's,Arkansas,Iowa State,Purdue,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 59,019d0328-e06f-463b-a483-009590f18983,NA,Houston,St. John's,Arkansas,Tennessee,Illinois,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 63,019d0328-e06f-46a5-b1ec-6ddf203df241,NA,Houston,Tennessee,Arkansas,St. John's,Purdue,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 65,019d0328-e06f-46e8-9726-91c93a678907,NA,Michigan State,Florida,Illinois,Arizona,Iowa,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 72,019d0328-e06f-4862-a4d8-59ec4763a7c3,NA,Michigan State,Iowa State,Houston,St. John's,Purdue,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 73,019d0328-e06f-48ca-a9af-c201196f41b5,NA,Michigan State,Iowa State,Duke,Arizona,Iowa,7c049b43-d637-406d-b50f-5e4a2beb629a,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 75,019d0328-e06f-48d5-9590-26e27a848e70,NA,Michigan State,Utah State,Illinois,Arizona,Iowa,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 77,019d0328-e06f-494c-b924-49f4d96cf830,NA,Nebraska,Florida,Arkansas,Arizona,Iowa,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 78,019d0328-e06f-49b1-bafe-ae0442ef7bda,NA,Nebraska,Virginia,Arkansas,Iowa State,Iowa,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 79,019d0328-e06f-49b3-a01d-1ae42dbeac99,NA,Nebraska,Virginia,Arkansas,St. John's,Iowa,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 80,019d0328-e06f-49ec-a217-c8da33e4bee4,NA,Nebraska,UConn,Arkansas,Arizona,Iowa,72d09f36-72f1-4c0a-a354-92033a140ff5,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 82,019d0328-e06f-4a3d-a7e3-90a4bb40616d,NA,Nebraska,Arizona,Arkansas,St. John's,Iowa,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 83,019d0328-e06f-4a42-8f01-34df71fb3569,NA,Nebraska,Alabama,Arkansas,Arizona,Iowa,72d09f36-72f1-4c0a-a354-92033a140ff5,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 84,019d0328-e06f-4a4a-b4d3-9bd040e1e79b,NA,Nebraska,Tennessee,Arkansas,Arizona,Iowa,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 85,019d0328-e06f-4a5a-beea-27843acc2231,NA,Nebraska,Kansas,Arkansas,Arizona,Iowa,5a449842-a556-4744-9544-b770fe147418,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 86,019d0328-e06f-4a7b-ab60-8521b2417215,NA,Nebraska,Iowa State,Arkansas,Arizona,Iowa,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 87,019d0328-e06f-4a96-9aca-dd9a3bd340f1,NA,Nebraska,St. John's,Arkansas,Arizona,Iowa,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 89,019d0328-e06f-4ae5-99cf-84e2dcaa2401,NA,Nebraska,Arizona,Arkansas,Iowa State,Iowa,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 96,019d0328-e06f-4c0e-8b4b-6e218c06a7ba,NA,Gonzaga,Alabama,Arkansas,St. John's,Purdue,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 99,019d0328-e06f-4c4d-b302-3336a517aecc,NA,Gonzaga,Iowa State,Arkansas,Arizona,Iowa,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 100,019d0328-e06f-4c6f-87d0-3f7f228b3685,NA,Vanderbilt,Florida,Arkansas,Arizona,Iowa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 103,019d0328-e06f-4cbb-95a1-295736af9526,NA,Vanderbilt,Virginia,Arkansas,Iowa State,Iowa,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 104,019d0328-e06f-4ccc-837d-0fcef26d6817,NA,Vanderbilt,Virginia,Arkansas,St. John's,Iowa,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 106,019d0328-e06f-4ce8-9029-da908a1a08ec,NA,Vanderbilt,Tennessee,Houston,Arizona,Illinois,b46ec7e5-fa6c-451f-945e-5e535024bcc4,Pick Winners,NA,NA,NA,NA
dfc5b41b-c9b6-4ffa-9ac4-b6d0fc701275,Entry 108,019d0328-e06f-4d0a-9bb9-de26f043e132,NA,Vanderbilt,Alabama,Arkansas,Iowa State,Purdue,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
