Slate ID,Entry Name,Entry ID,Previous Picks,"Day 1 (Round of 64), Pick 1","Day 1 (Round of 64), Pick 2","Day 2 (Round of 64), Pick 1","Day 2 (Round of 64), Pick 2",Day 3 (Round of 32),Day 4 (Round of 32),Day 5 (Round of 16),Day 6 (Round of 16),Pick 1,Pick 2,Pick Objective,Instructions,Team Name,Team ID,Game Info
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 47,019d02bb-f2a5-444f-8af4-88aa621137fb,NA,Nebraska,Michigan State,Arizona,Iowa State,Duke,UConn,Iowa,Tennessee,88938946-3484-432a-8bf9-045860e4f561,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 49,019d02bb-f2a5-445b-9c72-54986e8ce3b9,NA,Nebraska,Michigan State,Arizona,Alabama,Arkansas,St. John's,Iowa,UConn,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,88938946-3484-432a-8bf9-045860e4f561,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 50,019d02bb-f2a5-44ed-9927-6a78d2bbe3f7,NA,Nebraska,Michigan State,Arizona,Iowa State,Illinois,St. John's,Iowa,Duke,b94a5674-927b-4b6d-91bb-776da741e0aa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 51,019d02bb-f2a5-44ff-ac28-e34f0f95264b,NA,Michigan State,Nebraska,Utah State,Iowa State,Michigan,Arizona,Iowa,UConn,be1331a5-4ca1-4f47-a4d6-0aefbe24deca,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 52,019d02bb-f2a5-450a-9dad-bca56569cdc5,NA,Michigan State,Nebraska,Iowa State,Utah State,Duke,Arizona,Iowa,Tennessee,5a449842-a556-4744-9544-b770fe147418,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 55,019d02bb-f2a5-457d-a9d7-f6251208c055,NA,Michigan State,Nebraska,Iowa State,Purdue,Arkansas,Arizona,Iowa,Duke,88938946-3484-432a-8bf9-045860e4f561,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 70,019d02bb-f2a5-471c-9f93-544e53a9a9cc,NA,Louisville,Houston,Purdue,Iowa State,Michigan,Arizona,Illinois,Duke,7533674c-1b62-4252-9d3e-3de38e7fd3c6,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 75,019d02bb-f2a5-47b5-bdac-804d67a79b96,NA,Houston,Louisville,Arizona,Iowa State,Duke,St. John's,Illinois,Tennessee,7533674c-1b62-4252-9d3e-3de38e7fd3c6,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 77,019d02bb-f2a5-48b9-b8f4-31ee5dd9e393,NA,Louisville,Houston,Utah State,Iowa State,Duke,Arizona,Illinois,Tennessee,7533674c-1b62-4252-9d3e-3de38e7fd3c6,5a449842-a556-4744-9544-b770fe147418,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 78,019d02bb-f2a5-48d6-ab90-245310b5bcc2,NA,Houston,Louisville,Iowa State,Purdue,Arkansas,Arizona,Illinois,Duke,7533674c-1b62-4252-9d3e-3de38e7fd3c6,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 85,019d02bb-f2a5-498b-b389-50fa2b168223,NA,Illinois,Louisville,Tennessee,Arizona,Arkansas,St. John's,Iowa,Duke,b94a5674-927b-4b6d-91bb-776da741e0aa,57ef2016-6591-4b7a-b588-59a749c25529,Pick Winners,NA,NA,NA,NA
f74cb95c-e515-4937-b5cc-c336b8570677,Entry 119,019d02bb-f2a5-4d1f-b04a-13644078d439,NA,Nebraska,Louisville,Iowa State,Arizona,Arkansas,St. John's,Iowa,Tennessee,88938946-3484-432a-8bf9-045860e4f561,b94a5674-927b-4b6d-91bb-776da741e0aa,Pick Winners,NA,NA,NA,NA
