"Entry_Name","Entry_ID","Previous_Picks","Pick_1","Team_Name","Pick_2","Team_Name_2"
"Entry 48","019d02bb-f2a5-4451-8c2b-0af00fcf5682","Duke","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 49","019d02bb-f2a5-445b-9c72-54986e8ce3b9","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 50","019d02bb-f2a5-44ed-9927-6a78d2bbe3f7","Illinois","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 51","019d02bb-f2a5-44ff-ac28-e34f0f95264b","Michigan","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 52","019d02bb-f2a5-450a-9dad-bca56569cdc5","Duke","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 53","019d02bb-f2a5-4513-bed0-273bd955692c","Duke","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 54","019d02bb-f2a5-457d-a419-9705b19e9ea2","Illinois","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 55","019d02bb-f2a5-457d-a9d7-f6251208c055","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 68","019d02bb-f2a5-46c7-9d2e-6293d45f07bc","Duke","88938946-3484-432a-8bf9-045860e4f561","Illinois",NA,NA
"Entry 69","019d02bb-f2a5-46ef-83f7-2583c6e536e1","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska",NA,NA
"Entry 70","019d02bb-f2a5-471c-9f93-544e53a9a9cc","Michigan","88938946-3484-432a-8bf9-045860e4f561","Illinois",NA,NA
"Entry 71","019d02bb-f2a5-472f-a290-b2ef021c2093","Duke","88938946-3484-432a-8bf9-045860e4f561","Illinois",NA,NA
"Entry 72","019d02bb-f2a5-4744-a8ce-30165d183eae","Gonzaga","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 73","019d02bb-f2a5-4749-9bd8-9db6a7f958dd","Michigan","88938946-3484-432a-8bf9-045860e4f561","Illinois",NA,NA
"Entry 74","019d02bb-f2a5-4762-a9dc-7e4ee09ec57b","Michigan","88938946-3484-432a-8bf9-045860e4f561","Illinois",NA,NA
"Entry 75","019d02bb-f2a5-47b5-bdac-804d67a79b96","Duke","88938946-3484-432a-8bf9-045860e4f561","Illinois",NA,NA
"Entry 76","019d02bb-f2a5-47e6-820e-3d398f591c4d","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska",NA,NA
"Entry 77","019d02bb-f2a5-48b9-b8f4-31ee5dd9e393","Duke","88938946-3484-432a-8bf9-045860e4f561","Illinois",NA,NA
"Entry 78","019d02bb-f2a5-48d6-ab90-245310b5bcc2","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 79","019d02bb-f2a5-4946-87e4-899c08bb4a8a","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 80","019d02bb-f2a5-4952-9c94-af398bdb409e","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 81","019d02bb-f2a5-495a-b082-dc74f4554294","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 82","019d02bb-f2a5-4964-ad84-9d4c1a0727bc","Arkansas","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 83","019d02bb-f2a5-4973-bf2b-7d61ddf6cf33","Arkansas","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 84","019d02bb-f2a5-4982-a023-35dab5ada17d","Gonzaga","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 85","019d02bb-f2a5-498b-b389-50fa2b168223","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska",NA,NA
"Entry 86","019d02bb-f2a5-499e-83a1-c59b2a78ddd9","Gonzaga","12207ee4-a390-477d-a4a7-7aa3f49430aa","Alabama","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 87","019d02bb-f2a5-49c3-bfec-592f9d59efeb","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska",NA,NA
"Entry 88","019d02bb-f2a5-49c5-bdd3-10893befd15c","Gonzaga","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 89","019d02bb-f2a5-49cd-94c5-91818d0bb72a","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska",NA,NA
"Entry 90","019d02bb-f2a5-49ec-b459-a7ae6481e1a0","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 91","019d02bb-f2a5-49f4-8ad0-0e2566f848a1","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska",NA,NA
"Entry 92","019d02bb-f2a5-4a0a-b789-af5bd57852b8","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 93","019d02bb-f2a5-4a2c-8a1f-aa1e382a6517","Gonzaga","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","bd55c7eb-7658-4eac-b14a-59dfd6d29e05","Utah State"
"Entry 94","019d02bb-f2a5-4a44-ac4c-4a8261020e87","Gonzaga","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 95","019d02bb-f2a5-4a4a-bead-91d644092325","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 96","019d02bb-f2a5-4a66-b8ad-acfeeb9e3350","Gonzaga","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 97","019d02bb-f2a5-4a94-bf08-2a8d5d35d10a","Duke","415597f4-8ef0-450d-aa90-7392abd8169f","Arkansas",NA,NA
"Entry 98","019d02bb-f2a5-4a98-9419-86e65e7ce265","Arkansas","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 99","019d02bb-f2a5-4aa0-9eeb-732ddd6e9edb","Arkansas","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
"Entry 100","019d02bb-f2a5-4aa7-91d2-d5692d2a1b65","Arkansas","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e","Tennessee"
"Entry 101","019d02bb-f2a5-4abc-8d14-384af324a2fb","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 102","019d02bb-f2a5-4ac2-a601-01ad71666009","Arkansas","72cd0c03-59cd-42e9-a938-d741e77e6bae","Nebraska",NA,NA
"Entry 103","019d02bb-f2a5-4acc-810f-ef57a36464ac","Arkansas","12207ee4-a390-477d-a4a7-7aa3f49430aa","Alabama","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona"
"Entry 104","019d02bb-f2a5-4ad7-a3c5-655c1b59c470","Arkansas","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 117","019d02bb-f2a5-4ca5-9d28-4a1cffcbcffb","Gonzaga","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 118","019d02bb-f2a5-4d19-9ad9-8bf0c4e3a013","Vanderbilt","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State"
"Entry 119","019d02bb-f2a5-4d1f-b04a-13644078d439","Arkansas","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 120","019d02bb-f2a5-4d20-a00b-82005eca81b9","Michigan","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 121","019d02bb-f2a5-4d55-80f8-3c38dfeea859","Duke","9d2884f6-0a5a-424f-9e32-79546f103184","Texas",NA,NA
"Entry 122","019d02bb-f2a5-4d5f-b772-008464ae7cfb","Gonzaga","5ea7c1aa-0bfc-47e8-8435-28821e1bf209","Arizona","840e7069-b4c0-4780-8cd1-95b66ad88ceb","Virginia"
"Entry 123","019d02bb-f2a5-4d6d-8362-a3ef440877a5","Gonzaga","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","bd55c7eb-7658-4eac-b14a-59dfd6d29e05","Utah State"
"Entry 124","019d02bb-f2a5-4d91-a7ff-872567e9ce1c","Vanderbilt","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","bd55c7eb-7658-4eac-b14a-59dfd6d29e05","Utah State"
"Entry 125","019d02bb-f2a5-4d9d-b519-1d049b41db38","Duke","7533674c-1b62-4252-9d3e-3de38e7fd3c6","Iowa",NA,NA
"Entry 126","019d02bb-f2a5-4dba-bf34-ff0093d6f0a4","Gonzaga","b46ec7e5-fa6c-451f-945e-5e535024bcc4","Iowa State","b94a5674-927b-4b6d-91bb-776da741e0aa","Purdue"
